,lb,ub,PRISM_solar_litho flux,μₓ,PhotonOut flux,NDH-1(1)u flux,MEHLER flux,CEFQCycle flux,PSIIPlaq9h2 flux,ATPSh flux,FNORh flux,atp_h flux
38,380.0,380.0,380.0,0.038560620042751924,6.869640000000052,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
39,390.0,390.0,390.0,0.038560620042751924,7.050420000000029,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
40,400.0,400.0,400.0,0.038560620042751924,7.231200000000007,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
41,410.0,410.0,410.0,0.038560620042751924,7.411979999999985,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
42,420.0,420.0,420.0,0.038560620042751924,7.592760000000032,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
43,430.0,430.0,430.0,0.038560620042751924,7.773540000000009,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
44,440.0,440.0,440.0,0.038560620042751924,7.954319999999987,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
45,450.0,450.0,450.0,0.038560620042751924,8.135099999999964,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
46,460.0,460.0,460.0,0.038560620042751924,8.315880000000012,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
47,470.0,470.0,470.0,0.038560620042751924,8.49665999999999,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
48,480.0,480.0,480.0,0.038560620042751924,8.677440000000036,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
49,490.0,490.0,490.0,0.038560620042751924,8.858220000000014,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
50,500.0,500.0,500.0,0.038560620042751924,9.03899999999999,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
51,510.0,510.0,510.0,0.038560620042751924,9.21977999999997,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
52,520.0,520.0,520.0,0.038560620042751924,9.400560000000016,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
53,530.0,530.0,530.0,0.038560620042751924,9.581339999999994,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
54,540.0,540.0,540.0,0.038560620042751924,9.76212000000004,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
55,550.0,550.0,550.0,0.038560620042751924,9.942899999999948,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
56,560.0,560.0,560.0,0.038560620042751924,10.123679999999997,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
57,570.0,570.0,570.0,0.038560620042751924,10.304459999999974,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
58,580.0,580.0,580.0,0.038560620042751924,10.48524000000002,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
59,590.0,590.0,590.0,0.038560620042751924,10.666019999999998,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
60,600.0,600.0,600.0,0.038560620042751924,10.846799999999975,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
61,610.0,610.0,610.0,0.038560620042751924,11.027579999999954,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
62,620.0,620.0,620.0,0.038560620042751924,11.20836,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
63,630.0,630.0,630.0,0.038560620042751924,11.389140000000047,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
64,640.0,640.0,640.0,0.038560620042751924,11.569920000000025,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
65,650.0,650.0,650.0,0.038560620042751924,11.750700000000002,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
66,660.0,660.0,660.0,0.038560620042751924,11.931479999999981,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
67,670.0,670.0,670.0,0.038560620042751924,12.112260000000028,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
68,680.0,680.0,680.0,0.038560620042751924,12.293040000000005,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
69,690.0,690.0,690.0,0.038560620042751924,12.473820000000051,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
70,700.0,700.0,700.0,0.038560620042751924,12.65459999999996,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
71,710.0,710.0,710.0,0.038560620042751924,12.835380000000008,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
72,720.0,720.0,720.0,0.038560620042751924,13.016159999999985,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
73,730.0,730.0,730.0,0.038560620042751924,13.196940000000032,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
74,740.0,740.0,740.0,0.038560620042751924,13.377720000000009,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
75,750.0,750.0,750.0,0.038560620042751924,13.558499999999988,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
76,760.0,760.0,760.0,0.038560620042751924,13.739279999999965,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
77,770.0,770.0,770.0,0.038560620042751924,13.920060000000012,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
78,780.0,780.0,780.0,0.038560620042751924,14.10083999999999,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
79,790.0,790.0,790.0,0.038560620042751924,14.281620000000036,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
80,800.0,800.0,800.0,0.038560620042751924,14.462399999999946,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
81,810.0,810.0,810.0,0.038560620042751924,14.643179999999992,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
82,820.0,820.0,820.0,0.038560620042751924,14.82395999999997,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
83,830.0,830.0,830.0,0.038560620042751924,15.004739999999947,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
84,840.0,840.0,840.0,0.038560620042751924,15.185519999999993,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
85,850.0,850.0,850.0,0.038560620042751924,15.366299999999972,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
86,860.0,860.0,860.0,0.038560620042751924,15.547080000000019,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
87,870.0,870.0,870.0,0.038560620042751924,15.727859999999996,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
88,880.0,880.0,880.0,0.038560620042751924,15.908640000000043,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
