,bound,PhotonOut flux,ZEAXExcp flux,μₓ,Photon Absorption,VITD3Sp flux,P700SGTp flux,P680SGTp flux,LHCIIabsp flux,PCHLDp flux,RHODOPSINIp flux,BCAROSingletp flux,OECLghtDMGp flux
885,885.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
880,880.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
875,875.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
870,870.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
865,865.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
860,860.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
855,855.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
850,850.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
845,845.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
840,840.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
835,835.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
830,830.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
825,825.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
820,820.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
815,815.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
810,810.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
805,805.0,18.078,42.23042115190007,0.038560620042751924,981.922,0.0,511.94857884809994,55.0,341.14094870609284,0.00011606746632868328,19.751209511348954,0.0,0.0
